real,predito
42.5626,46.7712
49.5612,49.7811
35.9549,34.9386
17.515,18.7113
37.1479,39.287
42.8964,44.9303
46.7574,43.1617
54.8099,55.682
40,39.4477
58.5077,61.1098
25.1705,29.2313
53.9714,53.3446
48.6507,45.9427
66.6282,61.2187
25.1665,29.8379
40,40.288
13.3086,20.6182
43.5099,48.2014
26.9048,28.7761
63.7476,62.0717
57.3757,57.8288
26.6238,28.4628
37.4684,35.3451
34.3761,41.4874
48.4251,43.6397
25.1661,30.6675
48.2579,49.8656
67.971,61.4101
47.8705,44.2677
43.1471,45.839
54.8526,55.3279
29.1639,30.9231
38.8231,35.2879
73.5788,69.4549
78.0088,69.3101
60.7584,51.9662
71.2147,65.3578
37.4152,35.5947
37.2218,41.9642
35.3443,36.1723
60.5344,60.1895
44.3485,49.188
40,36.2642
69.4742,63.9975
60.6786,53.0193
46.6474,46.259
26.8614,31.2549
14.0128,17.4856
26.769,31.4376
25.0871,28.3472
24.5108,25.9256
37.2218,41.7967
27.9401,43.9345
55.1943,52.2223
67.9903,63.146
29.2567,32.0703
32.9575,34.3636
27.1226,29.5151
13.2897,14.1433
40.94,41.4807
81.4197,63.6558
14.5018,17.4311
40.193,41.7314
69.8088,57.5414
44.7017,42.7396
40,45.7828
68.2334,62.8617
48.2715,51.0526
41.9755,43.4016
31.1742,39.758
40,38.6693
45.601,44.3198
73.0088,67.9464
44.775,46.3208
56.5854,53.1188
35.6099,35.975
54.0766,60.6121
40,37.1964
35.5821,35.2821
26.8296,28.1105
40,36.094
20.4414,19.1604
57.7379,60.5035
72.8625,66.0742
25.1705,29.4607
51.0962,50.6688
43.879,48.1566
15.2427,15.0815
68.3333,63.4382
53.064,52.8493
51.1418,52.2036
32.5222,31.9447
38.9759,36.9357
49.1165,53.3043
24.7434,28.0776
40,35.243
47.0688,42.0957
42.9085,45.7685
30.61,36.7728
31.0117,36.7187
26.7636,28.8359
57.0161,50.935
25.1705,29.0747
40,36.4973
52.1635,56.8006
70.0374,60.4366
56.5989,51.5018
36.4135,38.1545
35.5776,34.823
28.0359,30.1145
41.4818,42.6584
40,39.4144
54.8425,58.8033
13.2547,18.1528
34.5063,44.4958
48.7535,52.119
60.4704,57.0735
39.716,38.0714
31.1583,34.1492
32.2398,33.0547
51.153,51.4463
40,35.8455
13.2227,13.9559
51.5001,50.2334
62.4429,62.7286
29.6944,44.4071
31.4878,33.3786
39.1429,42.6888
73.0088,60.3332
50.7616,52.0742
69.4345,54.5523
56.522,51.7198
27.0031,38.5206
